T1,T2,Win,Clean_Fail,Clean_partial,clean_correct,Partial_correct,Partial_full,Partial_no,Full_Found,Full_partial,Full_wrong,Base,Persist,percentage_baseline,min_options,max_options
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,3,0.15,10,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.15,10,100
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,4,0.15,10,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.15,10,100
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,5,0.15,10,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.15,10,100
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,6,0.15,10,100
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.15,10,100
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,7,0.15,10,100
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.15,10,100
1.02,1.05,5,2,2,3,1,1,1,13,10,6,Relative_DP,10,0.15,10,100
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.15,10,100
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,3,0.05,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.05,10,125
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,4,0.05,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.05,10,125
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,5,0.05,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.05,10,125
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,6,0.05,10,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.05,10,125
1.02,1.05,5,2,2,3,1,1,1,13,11,5,Relative_DP,7,0.05,10,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.05,10,125
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.05,10,125
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.05,10,125
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,3,0.1,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.1,10,125
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,4,0.1,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.1,10,125
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,5,0.1,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.1,10,125
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,6,0.1,10,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.1,10,125
1.02,1.05,5,2,2,3,1,1,1,14,10,5,Relative_DP,7,0.1,10,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.1,10,125
1.02,1.05,5,2,2,3,0,1,2,14,9,6,Relative_DP,10,0.1,10,125
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.1,10,125
1.02,1.05,5,2,3,2,1,1,1,17,7,5,Relative_DP,3,0.15,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.15,10,125
1.02,1.05,5,2,3,2,1,1,1,17,7,5,Relative_DP,4,0.15,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.15,10,125
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,5,0.15,10,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.15,10,125
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,6,0.15,10,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.15,10,125
1.02,1.05,5,2,2,3,1,1,1,14,10,5,Relative_DP,7,0.15,10,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.15,10,125
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.15,10,125
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.15,10,125
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,3,0.05,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.05,10,150
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,4,0.05,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.05,10,150
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,5,0.05,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.05,10,150
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,6,0.05,10,150
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.05,10,150
1.02,1.05,5,2,2,3,0,1,2,13,11,5,Relative_DP,7,0.05,10,150
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.05,10,150
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.05,10,150
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.05,10,150
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,3,0.1,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.1,10,150
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,4,0.1,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.1,10,150
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,5,0.1,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.1,10,150
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,6,0.1,10,150
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.1,10,150
1.02,1.05,5,2,2,3,0,1,2,14,10,5,Relative_DP,7,0.1,10,150
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.1,10,150
1.02,1.05,5,2,2,3,0,1,2,14,9,6,Relative_DP,10,0.1,10,150
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.1,10,150
1.02,1.05,5,2,3,2,1,1,1,17,7,5,Relative_DP,3,0.15,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.15,10,150
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,4,0.15,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.15,10,150
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,5,0.15,10,150
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.15,10,150
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,6,0.15,10,150
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.15,10,150
1.02,1.05,5,2,2,3,0,1,2,14,10,5,Relative_DP,7,0.15,10,150
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.15,10,150
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.15,10,150
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.15,10,150
1.02,1.05,5,2,3,2,0,1,2,16,8,5,Relative_DP,3,0.05,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.05,10,200
1.02,1.05,5,2,3,2,0,1,2,15,9,5,Relative_DP,4,0.05,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.05,10,200
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,5,0.05,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.05,10,200
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,6,0.05,10,200
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.05,10,200
1.02,1.05,5,2,2,3,0,1,2,13,11,5,Relative_DP,7,0.05,10,200
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.05,10,200
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.05,10,200
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.05,10,200
1.02,1.05,5,2,3,2,0,1,2,15,9,5,Relative_DP,3,0.1,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.1,10,200
1.02,1.05,5,2,3,2,0,1,2,15,9,5,Relative_DP,4,0.1,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.1,10,200
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,5,0.1,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.1,10,200
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,6,0.1,10,200
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.1,10,200
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,7,0.1,10,200
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.1,10,200
1.02,1.05,5,2,2,3,0,1,2,14,9,6,Relative_DP,10,0.1,10,200
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.1,10,200
1.02,1.05,5,2,3,2,0,1,2,17,7,5,Relative_DP,3,0.15,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.15,10,200
1.02,1.05,5,2,3,2,0,1,2,16,8,5,Relative_DP,4,0.15,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.15,10,200
1.02,1.05,5,2,3,2,0,1,2,16,8,5,Relative_DP,5,0.15,10,200
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.15,10,200
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,6,0.15,10,200
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.15,10,200
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,7,0.15,10,200
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.15,10,200
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.15,10,200
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.15,10,200
1.02,1.05,5,2,3,2,0,1,2,16,8,5,Relative_DP,3,0.05,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.05,10,600
1.02,1.05,5,2,3,2,0,1,2,15,9,5,Relative_DP,4,0.05,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.05,10,600
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,5,0.05,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.05,10,600
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,6,0.05,10,600
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.05,10,600
1.02,1.05,5,2,2,3,0,1,2,13,11,5,Relative_DP,7,0.05,10,600
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.05,10,600
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.05,10,600
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.05,10,600
1.02,1.05,5,2,3,2,0,1,2,15,9,5,Relative_DP,3,0.1,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.1,10,600
1.02,1.05,5,2,3,2,0,1,2,15,9,5,Relative_DP,4,0.1,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.1,10,600
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,5,0.1,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.1,10,600
1.02,1.05,5,2,3,2,0,1,2,14,10,5,Relative_DP,6,0.1,10,600
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.1,10,600
1.02,1.05,5,2,2,3,0,1,2,14,10,5,Relative_DP,7,0.1,10,600
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.1,10,600
1.02,1.05,5,2,2,3,0,1,2,14,9,6,Relative_DP,10,0.1,10,600
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.1,10,600
1.02,1.05,5,2,3,2,0,1,2,17,7,5,Relative_DP,3,0.15,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.15,10,600
1.02,1.05,5,2,3,2,0,1,2,16,8,5,Relative_DP,4,0.15,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.15,10,600
1.02,1.05,5,2,3,2,0,1,2,16,8,5,Relative_DP,5,0.15,10,600
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.15,10,600
1.02,1.05,5,2,2,3,0,1,2,14,10,5,Relative_DP,6,0.15,10,600
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.15,10,600
1.02,1.05,5,2,2,3,0,1,2,14,10,5,Relative_DP,7,0.15,10,600
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.15,10,600
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.15,10,600
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.15,10,600
1.02,1.05,5,2,3,2,1,1,1,16,9,4,Relative_DP,3,0.05,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.05,15,75
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,4,0.05,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.05,15,75
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,5,0.05,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.05,15,75
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,6,0.05,15,75
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.05,15,75
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,7,0.05,15,75
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.05,15,75
1.02,1.05,5,2,2,3,1,1,1,13,10,6,Relative_DP,10,0.05,15,75
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.05,15,75
1.02,1.05,5,2,3,2,1,1,1,15,10,4,Relative_DP,3,0.1,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.1,15,75
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,4,0.1,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.1,15,75
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,5,0.1,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.1,15,75
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,6,0.1,15,75
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.1,15,75
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,7,0.1,15,75
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.1,15,75
1.02,1.05,5,2,2,3,1,1,1,14,9,6,Relative_DP,10,0.1,15,75
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.1,15,75
1.02,1.05,5,2,3,2,1,1,1,15,10,4,Relative_DP,3,0.15,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.15,15,75
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,4,0.15,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.15,15,75
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,5,0.15,15,75
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.15,15,75
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,6,0.15,15,75
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.15,15,75
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,7,0.15,15,75
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.15,15,75
1.02,1.05,5,2,2,3,1,1,1,13,10,6,Relative_DP,10,0.15,15,75
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.15,15,75
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,3,0.05,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.05,15,100
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,4,0.05,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.05,15,100
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,5,0.05,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.05,15,100
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,6,0.05,15,100
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.05,15,100
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,7,0.05,15,100
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.05,15,100
1.02,1.05,5,2,2,3,1,1,1,13,10,6,Relative_DP,10,0.05,15,100
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.05,15,100
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,3,0.1,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.1,15,100
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,4,0.1,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.1,15,100
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,5,0.1,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.1,15,100
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,6,0.1,15,100
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.1,15,100
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,7,0.1,15,100
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.1,15,100
1.02,1.05,5,2,2,3,1,1,1,14,9,6,Relative_DP,10,0.1,15,100
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.1,15,100
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,3,0.15,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.15,15,100
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,4,0.15,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.15,15,100
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,5,0.15,15,100
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.15,15,100
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,6,0.15,15,100
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.15,15,100
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,7,0.15,15,100
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.15,15,100
1.02,1.05,5,2,2,3,1,1,1,13,10,6,Relative_DP,10,0.15,15,100
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.15,15,100
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,3,0.05,15,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.05,15,125
1.02,1.05,5,2,3,2,1,1,1,16,8,5,Relative_DP,4,0.05,15,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.05,15,125
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,5,0.05,15,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.05,15,125
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,6,0.05,15,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.05,15,125
1.02,1.05,5,2,2,3,1,1,1,14,10,5,Relative_DP,7,0.05,15,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.05,15,125
1.02,1.05,5,2,2,3,0,1,2,13,10,6,Relative_DP,10,0.05,15,125
1.02,1.05,5,0,0,7,0,0,3,0,0,29,Total system DP,10,0.05,15,125
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,3,0.1,15,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,3,0.1,15,125
1.02,1.05,5,2,3,2,1,1,1,15,9,5,Relative_DP,4,0.1,15,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,4,0.1,15,125
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,5,0.1,15,125
1.02,1.05,5,0,0,7,0,0,3,1,0,28,Total system DP,5,0.1,15,125
1.02,1.05,5,2,3,2,1,1,1,14,10,5,Relative_DP,6,0.1,15,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,6,0.1,15,125
1.02,1.05,5,2,2,3,1,1,1,14,10,5,Relative_DP,7,0.1,15,125
1.02,1.05,5,0,0,7,0,0,3,0,1,28,Total system DP,7,0.1,15,125
